Date,Headline,URL
2024-04-16,BRAC Bank officials promoted to Senior Executive Vice President - The Financial Express | First Financial Daily of Bangladesh,https://news.google.com/rss/articles/CBMiywFBVV95cUxNN0lpcldqYThuX2JaZUVWNkxkZ1dmWHRkUUo4dm5memw1ZlB1U1ByYk9oeUpRRWIwbUZydUUxUlFLUS02aTI4ZUFqeldDRW5rb0tqbUxCZFRNTEJOem5seFp5QmE3MmcxRDFKX0hfX0xDWXZ6MmJXWmp1elJTQ3g1dVZzbEZmZVpna2t5OE1DQjl1TnhJZmNPYW56MXZyLVExWHFwd1VpUENTR2Q0MlYzTnBnazZvanRObWpfWWxxLVlGSDFnUzJoc3NjTdIB1wFBVV95cUxOM3R4NnR3U09rTFhlMnhmSVhVQkVXclFLMGdKUFk0V1hsQ2hHNXZQUzZ4OGx3RGo2b05uYmJuR3NvNC1nTFBfQTdNMW5VTE1uZnNyN0NsMVZsWkk1a0E3OUlKb2wtRi14UGxsTG5JclBENW9UbEFhc09yb2VWamdjX2JCZnJUUUVMeXhnWVhpYzU3Q0ZDSVh0V0l4bExMcXdnSnpRc1FxdjVNdTVUVVlDbkt4d001bm1JRXVfSHVqVWlMS3hONE5haTZMVzRuNXF2STE5NmktRQ?oc=5
2024-04-17,Brac Bank customers to enjoy offers at Mana Bay Water Park - Dhaka Tribune,https://news.google.com/rss/articles/CBMinwFBVV95cUxPY0p2RVQyck1jdmtEOGdCTXRyNzhfY19SaUdnSlF3ZmpWQXNyWTMyd1FObzZnRU02anJnZTI3ekRtc2xzeXRTYW5hdzktc1lqVFBCQU1nN3F6clJDOW9lSDhfQlJuTWI1Vld0cTJMOW5TRlFlMzAweTdjVlllaVRqYVdRdV95NWtYRTlkdFYwd19mLUtyM1dManVOM1FYczDSAaQBQVVfeXFMUG5kSDhnWXlBb3FJZ0M0c2oybTJ2ajA2ODNOOVFWSHdVN0tFcTFrdURLbW1PY0UwUWh6OGhYaDFrTGFXT0RMcGw0T0VCY2Z6MjRxQXRWVkRGUHJ5OFRHY2V3d0FGLTdTdFZqX21wZXltdEYyZF96ZlNVYXVOUWVCQWtHcUg0cTZGWF9lanlTRE9ycFNLNDVuTVhXNlVQQmdvT193Yks?oc=5
2024-04-22,Brac Bank’s Sabbir Hossain wins ‘Ingenious COO of the Year' award - Dhaka Tribune,https://news.google.com/rss/articles/CBMitwFBVV95cUxQMnBkbDBrNUVoY3o2X1BMd2t4dkVPR2ZHNVRZTGhlbTFmVk1uUFRwVEVEZi1DeFJsb0dLSlI4U0JSdG9VZzNUa3hSRGZGdmI5RGR2N3hFY21fLVdHWHlWZUpRc3I0S0d3Z1FjckhFaWx4SkRYUXlmSF9Jc0d2VFBDLWotY2wzOFhDTzZPelp4WVNYZGFlcVdodkVWeElFMVlhdnRWX0xVSnNTZm92bWIySTdRWjBfNzDSAbwBQVVfeXFMUE1xV2VPMGR1bUszc3h4Mzd1Z2JVTy1BNVEyMkxEdXF4UzB5ak5ZQzNtZnJINGtLMDNzem9CWlF5VFk3VHNCSG1XQ1FTNUZ2WnFEaVFHM3dWQWstS19NTkR4MjhZNUtoaE5USnJNQndoSEN0b3JhNEdQVFVoT2tzSzV0eGlIbU1QZ09XT0hUS09rS3hxeEdwRW5iWXpZMGw3MWoyWnBsZXpKc0lwaGJyR3ZuOTY0TXJuWjZUYlM?oc=5
2024-04-25,Brac Bank appoints chief digital officer - Dhaka Tribune,https://news.google.com/rss/articles/CBMilgFBVV95cUxQMUVoVFE3VHF3MjlYb0xsTHBudC1KS3c4MGxrdk1DZGRpeF9IWVp0TmsycDV5WVctTmFwODVlZDBtWGtvdkNvSDFYZThoNmZVeGpwUWlsNHV2aURCeHhEUm45bEVpTXJ3cW9EUnJQMVJ1U0lud2xydkxEVlh6bkxfanktVUpfOW12eThlRE44YjZnX2tMc1HSAZsBQVVfeXFMUFc0Q2o0WkRuNEo4Y2pvdlRSYlYzNjBwZFZjbkdpckxhTlBuZldJWDU0SEJTZFB4SnFfZmpobHpKTDRfb1Q4bW5oY3kwQjJNN0I4SEp1UVFlQjBNdU9TazByR3QxbjVBMVVpMEtTNGhwTVpyZC1ZcnA4M3QzS3dzZFVzLS0ydWZNSDhtVW55THB6Wmc0Qzc2VXQxbkk?oc=5
2024-04-30,Brac bank pilots all-women branch initiative - Dhaka Tribune,https://news.google.com/rss/articles/CBMimwFBVV95cUxQcjBBSGJrcDI4cDBTWWFhekJOb1pxc2ZRQ0JpR3U5SHdDdGhrUFpaSFhGb3Nycm51SkJka0hUT1hhX25kblgzNEVZdGktckRjVi1oelZKVUs1LV9UVHBHcTZoWFRhM1dxUFkwYzVNUTVrZEVUYWp2V20wSThtZjlnUkxlUm44eENvRy12bGlVYzRpVEZHSzlRR3FuWdIBoAFBVV95cUxNRG53Y04ydUNPQkpLUmZ5cDJ2czd0RXZra2dhN0VpU29jU2o1UlhFTkt2UHVUb24xUVZHTTBOYURReWVuY3d5RkdFdExyWHc3UlFrSVR6X1pfX3k1X3R6bEw5b3JUSEtqVjlZT2NvaVl4ZGFRZFgwRmhCNVg2SV94VDF3SDc0NU55U18yQW9qaTY5Z1VvVnZpS2ljdEdsdEd3?oc=5
2024-05-05,BRAC Bank again rated 'AAA' by CRAB - The Business Standard,https://news.google.com/rss/articles/CBMihwFBVV95cUxPVURCTjlsT0M5NmFsWG1hUDE4bGY2LVAtU21oSERoVUE0a0d3bTJwXzN2MHEwOG1KVVR5ZFp4MkF6RUIzM3kzVlk0dDlCM19GNDEyekY2SkN6c05ySnpHWUtlSzNmUjY1WTBDVWVkeWs3SnJKd09MRnVmWE1DSU1QQzRLLUJDbWfSAYwBQVVfeXFMTWhrcktTMUtuOEoyVG9oNjVOaEx0c0FEbUdaV0FpNWk1WWZLNnJPaDNBNXp2UFVOOE01eGkySnBEejY2MkFmVTl5N0tGZ2xldGVlaEJGMmtVbm9aY3dPd2hvZkxjRjdPQm5kWUxTTkxkVzhYckxWell3NDFYdHN6WjkxQXdsMmJFek85MTM?oc=5
2024-05-07,Brac Bank opens collection booth at Brac University campus - Dhaka Tribune,https://news.google.com/rss/articles/CBMilgFBVV95cUxOM1dmZy1RSXJPWTBPUFhJWjY1TmVlemZvMllfbF9lUWpuZVZVSnlBalhsOUVqODc0UUs2Tnlhd0VLUWxFUHYyb1Y1SXUySHVfZllYLU11M3JyX0R0MW1YVURRS1FUMEhjdVAxTm52bkhyMTJUbzFCVldBTndKN1pZOHdvZjNnZGZGUm1ZNERmVllUb1hhLVHSAZsBQVVfeXFMT0hjeWxyMlFUQUpHOHdvN1hfd0t6SnBmTHZZcml3eDIyX2dxaElqek5kdFBHcTRNaEZaVVI0V3BhVnVvOTJDMkdzMVdHZ29nTDI0MWdrVDEwQnItblZVemRKbUdrZ0xmLV9McnktZnYtMGRSSUZVcm4tVlFLazZNTVlyNnYyWlR6aXI3YUJISmlvR3VOeUJVVk1pVWM?oc=5
2024-05-08,BRAC Bank profit increases 91% in Jan-Mar - The Business Standard,https://news.google.com/rss/articles/CBMihwFBVV95cUxPUmsyUFJTM1doZGVPSUx0ZTN5SHZ5czBzTWlJamtsaElZM3YzcU1zbm04UERIdktuMkNuQjlIM0hENHk2dlExM0V4V2ZBeVVSOHNPLVlIeFJ3Nno3a1Z0cFpVd05vRllwM1hha3BwbkhGQzFPbVNzdXpVdzAzaG8zUGUxSDlSYzDSAYwBQVVfeXFMT2ZCLUI4Wm1pRlY3R0xnNE0zLVBoZlBsUE1ZQmszV2R1M0RCb2xGWHZON3haMFFncXV1Rm5pQ1Z2UlRveE5tNTZCOTY4WGdYZnZFRTlSaUJ3VmNaQlVfMW9femtlU2JDaklVSXNZTEx1OEpKaW5maE00N2dwNnpwcm1Ub1BYTWJjZ2EzUXk?oc=5
2024-05-02,Brac Bank clarifies misleading reports of NBR 'raid' - Dhaka Tribune,https://news.google.com/rss/articles/CBMilAFBVV95cUxPTVl6YzNZaFV3U1lYUlowSnVPMDdZQXBsZ0pFbWFSWUNlbXZlZUs4Vk52azNnUldpbm1XM01aVVhDejI0bnMzNFNXbUJUUVhQM3pDQ3h2UXotS2lNbHVOOUpfRjQtQVFNWUZRSUlUWlJMVVlhc1RCQWRkMTlYX0E4WkJEUUI5QS1wWUFZdm5ob3E1MUFs0gGaAUFVX3lxTE1oY2VwQk4wOFJQSWRTVEZZZ3NBeFlTdkpUVHZuVENaWmozNW5VaG5RWlRwbWE1eTdwU3AtZDcySUtDYmRVcU5fNktlUm9qNWVDUHBWRWdUSFQ2MTNNX3lFTWpsVXVrd0xxekJRQUVSSmpBSkRVZVk5SnNNcWdDTVdhYkZ5XzlWOFVubnNZd1N5bHV5WVd1YlRFRWc?oc=5
2024-05-13,British International Investment supports MSMEs and women entrepreneurs in Bangladesh with $50 miilion debt commitment to BRAC Bank - British International Investment,https://news.google.com/rss/articles/CBMi-wFBVV95cUxPcjNOMEJoOE5QbTRHOFhUOEhqdVF5VVJJZEdpeWFnR0Z5Ujl4SG9GOVlBVFktOWZkWFI3RW9mNlM1bDlGRUNjeFdPOWc1aXZtSDV6TGdNMDFyRk42WWNaYmRFalo4dDlHWnNMaUtsQXU5TUVidHlrcERXeXFXVnMtMFMtb2VaaVNLR2RFY3NKUkgzMVlkdmF5TlEyRjd0ZGdYNU96M2ZGS2M3NWxDOHpSeW9HYi13eE1VVlZBczRRRXRZRHlDS0NZOGlwTWNSVENaanBhdHdxY0pDRlUxTzdJNnJWZ3oxRFVZWDJhR3dVT1NTVG5MOUp6c3FnYw?oc=5
