Date,symbol,ltp,high,low,open,close,ycp,trade,value,volume
2024-04-15,BRACBANK,37.6,39.0,36.7,39.0,37.6,38.5,622.0,14.947,400467.0
2024-04-16,BRACBANK,38.0,38.3,37.3,38.3,38.0,37.6,804.0,32.518,858635.0
2024-04-17,BRACBANK,37.8,38.0,37.6,38.0,37.8,38.0,327.0,10.164,268805.0
2024-04-18,BRACBANK,37.3,38.0,37.0,37.7,37.1,37.8,287.0,10.803,290826.0
2024-04-19,BRACBANK,37.3,38.0,37.0,37.7,37.1,37.8,287.0,10.803,290826.0
2024-04-20,BRACBANK,37.3,38.0,37.0,37.7,37.1,37.8,287.0,10.803,290826.0
2024-04-21,BRACBANK,37.4,37.5,36.8,37.0,37.4,37.1,259.0,14.151,381428.0
2024-04-22,BRACBANK,37.6,37.9,37.4,37.4,37.6,37.4,242.0,11.296,300000.0
2024-04-23,BRACBANK,37.9,38.7,37.6,37.6,37.9,37.6,581.0,22.709,595971.0
2024-04-24,BRACBANK,37.9,38.2,37.3,37.9,37.9,37.9,456.0,17.006,449316.0
2024-04-25,BRACBANK,37.1,38.0,36.8,37.7,37.1,37.9,385.0,18.349,494057.0
2024-04-26,BRACBANK,37.1,38.0,36.8,37.7,37.1,37.9,385.0,18.349,494057.0
2024-04-27,BRACBANK,37.1,38.0,36.8,37.7,37.1,37.9,385.0,18.349,494057.0
2024-04-28,BRACBANK,38.4,38.6,37.1,37.1,38.4,37.1,341.0,33.214,868539.0
2024-04-29,BRACBANK,38.6,38.9,38.0,38.7,38.6,38.4,328.0,20.044,521448.0
2024-04-30,BRACBANK,38.3,38.9,38.0,38.3,38.7,38.6,670.0,15.104,392021.0
2024-05-01,BRACBANK,38.3,38.9,38.0,38.3,38.7,38.6,670.0,15.104,392021.0
2024-05-02,BRACBANK,38.9,38.9,38.2,38.8,38.9,38.7,675.0,20.837,537672.0
2024-05-03,BRACBANK,38.9,38.9,38.2,38.8,38.9,38.7,675.0,20.837,537672.0
2024-05-04,BRACBANK,38.9,38.9,38.2,38.8,38.9,38.7,675.0,20.837,537672.0
2024-05-05,BRACBANK,39.4,39.6,38.0,38.0,39.4,38.9,550.0,25.886,662869.0
2024-05-06,BRACBANK,38.8,39.7,38.6,39.5,38.8,39.4,663.0,26.083,667751.0
2024-05-07,BRACBANK,0.0,0.0,0.0,0.0,38.8,38.8,0.0,0.0,0.0
2024-05-08,BRACBANK,37.7,39.0,37.7,38.8,37.7,38.8,331.0,50.019,1322389.0
2024-05-09,BRACBANK,36.9,37.7,36.8,37.7,36.9,37.7,369.0,36.418,984226.0
2024-05-10,BRACBANK,36.9,37.7,36.8,37.7,36.9,37.7,369.0,36.418,984226.0
2024-05-11,BRACBANK,36.9,37.7,36.8,37.7,36.9,37.7,369.0,36.418,984226.0
2024-05-12,BRACBANK,38.2,38.7,37.0,37.0,38.2,36.9,341.0,22.329,588298.0
2024-05-13,BRACBANK,38.0,38.6,37.7,38.1,38.0,38.2,252.0,19.24,506270.0
2024-05-14,BRACBANK,38.0,38.6,37.6,38.1,37.9,38.0,256.0,30.41,802886.0
