Date,Headline,URL
2024-04-15,Telenor has no plans to exit Bangladesh or merge Grameenphone with others: CEO Brekke - bdnews24.com,https://news.google.com/rss/articles/CBMiUkFVX3lxTE1uRlQ5cnNheUcxeFVBcHA2cGJVX2F1OUZuOF9fMDhlc0djMDJKVGxQLXZ2M1Z1RGFrY1o1RVhOUWxTRTZVT29qaThkRkREX3Q3b0E?oc=5
2024-04-25,Grameenphone registers Tk 39.3b revenue in 1st three months of 2024 - Bangladesh Sangbad Sangstha (BSS),https://news.google.com/rss/articles/CBMiUEFVX3lxTFA1LWJXMDNRUnNNX3lhMXRqaWdXSFdrQU9OMEZNU1o4bERVSXJFZTVYdkkxVU9WQ2k0VWYzZ2tFVE4zNUg1blo1RDByZ1ZRRHhS?oc=5
2024-05-02,Grameenphone's minimum recharge period extended to 35 days - The Financial Express | First Financial Daily of Bangladesh,https://news.google.com/rss/articles/CBMinwFBVV95cUxQdXQ2SFZtbUVCdnFaaUUzTUFGdmtkVGI0alg1c2ZIUnhKWThlQnNVVDdSUWZHRW1KS1JEVVFobHY0QkhUcGE3d3VJbkFUc3kxVGpxRXVwQ3FycU5Jcy1BaTBiakJBRlBMUWxrZDd0aTdHc1R3SWJ6NWd4blJGUV9NUWMxdU1DRS01eTFwY0RnSW1XLXB0cS1uZU5ucHBfeFE?oc=5
2024-05-14,Grameenphone partners with bKash - The Financial Express | First Financial Daily of Bangladesh,https://news.google.com/rss/articles/CBMingFBVV95cUxPMko2bjJHZkVRb3ZLT0N5SjdKaUNUSmdMREVmT2NHWVRUQl9FOFdKX0o4WXowWDVsZHR6SURoTmpjelNMV18yczZLYWpzeFNpWWgyWmhRbDgwTGNxcmVLR1NkNy0zVWxBVWxaLTg3T0tmcVBkMGx2SkNVRGRYbDUwNzY4LVJTVEpsUllPQ0RkekxZYnNMMlg3TnY5cXdpd9IBqgFBVV95cUxQMVE3ZXlXYWVqaUdjNjRuWXR4Uldqc2RzRnBEUENOZnczeUFiZHlvYXNXbHkyeUlLeGlmbWdsSUFLRFRuWkZxa2IwOEFCczQwSzg3ZUNQanVWTW5NRGhUY3loNXNLNllTOERpMDB3QW9mUWxEVTZoWXFKTXVFVDJSNzJ4X1N1c192RlBiNmpsTGFSejJUb0x1OGJtaG44LWVQcWw1V3pBanFGQQ?oc=5
2024-06-10,Grameenphone launches latest episode of Lumière featuring Rezwana Choudhury Bannya - The Daily Star,https://news.google.com/rss/articles/CBMizgFBVV95cUxNc2NDRU9TLXV6QThqV3ZHMXJtdUF3eUV3YUdmdGEwVDd0WGE1dEMxaDlPeDJXRGc1VzUtUmZRTHFKT09TbWgwWHNpYTAyY0dDci1xazFiMlA5SXM3c0NPbkp4TlpvMHRDUVYxVDFCZEZTdDd0THZ5OWd4dXc4MVpEd0FhNHFIUHZabG5YNi0teFRmTUdITnV6RGZ2SlNicmlZQzBGeXNhR1dIM3RqdnFnYnVkeU1NRTRjeFp0ZHhIZnczRUxDU1VJNkgyWFYzUQ?oc=5
2024-06-11,Grameenphone installs new network tower in Kushtia's 'YouTube Village' to empower content creators - The Business Standard,https://news.google.com/rss/articles/CBMiwAFBVV95cUxQVWVVUS1RMW1IZDU0U3lpQ0hEOEF0bGl1cjN4R0hYVXFtTHJhOXp5dEpWNzJ2LW01Q1pVQW93X0QyUGJka1R5a2oybUl4dWswa1hqMDVQQVRRSy1QMHlTUG9uYXNabURISHBBNjFEclN5SC1WbUc3Q1AwcVpZQ2Z2S25tRm1Ha1VuYk9mYWMwb2RfYnVOS3V1R05wUWFsYm9udG95aVFTUzliaXpLRUw0VXVPLWtfNi1QM0RELWtHUlfSAcYBQVVfeXFMUFJXOG15MGREdUZNVGpwMm9vMnV3OVVvZ3ZSSnFzOGlpWXpKN0ZIZDNTZ3dnSGVXNDNZRUNYeThCXy1yVjlNZEo4UW9reU9YeXNCZFJ3QTJkbWp4TC1XNXpqTkxwa3k3WTY3MWY4MTlwRjNkZlBBdkZXeENscTk1RmJnZkJvLWttN25jZEdYVm1EWWxYSmdiQVRILWJXN3E5TWg5cWRrRDJXQnV1NzZaem9tOHM3RDFrWUFTZnRJODB3cjlpalBR?oc=5
2024-07-03,Grameenphone CEO exchanges views with youths - Newagebd.net,https://news.google.com/rss/articles/CBMikwFBVV95cUxOSUlzaE1NMUlrNE85UmZRR09wODFXRkRnczhlZUZ2eEE5NHd1QjBfa29JUWR3Sm03VEhFanhCb3h0Z2N5YWdaX0d0c3VvbG5wUlpPWUxtNHZ3ZGRZMGJWVnhZVW9qcFFDY0kwTmJ0cTNuTVhNQnVoMmpfRlNoYWVWYnJwQ0h1aDFGRFJHYXlMQzhiT0U?oc=5
2024-07-08,Network restored: Grameenphone - The Daily Star,https://news.google.com/rss/articles/CBMihwFBVV95cUxNVXFTYXRnLVNraFZ3VTRMbGpWY2dObTlCa0UxRTZYRUJlTTNBMlU0VTN0VlZmdjdOUUFRWGlNcEhSODhpYi1ocGpheDVUWmhkZDVXU29la2YxYzZJcER0bkFhVG5VSWNEMXpvVTNoNkJ4Qk5EUUkwd25PMTh0S21hUmF2czlWOHM?oc=5
2024-07-17,Grameenphone passes 85 million customers milestone in Q2 - Telecompaper,https://news.google.com/rss/articles/CBMioAFBVV95cUxQdkIzc0RIdExfNE1sWG42TGlZVm9qSWIzTE9qMkZ0cy14aDJhamdzM3JTdE5hU2RScmV5dW80TWlqRWVFek5YYXF4U2x1Z0wxYkhjM0ZZSGthSTBZMWxZd0o0NWhldE5PX25XZVpfNHRGU2ZHVXk4R1lSM3c1SXBJQVJocHdibVlNVVJrLWxpVGFZbE5ZbTJpZGw5MHpITUd4?oc=5
2024-07-15,"Grameenphone launches 'gpfi unlimited', a wireless home Wi-Fi solution - The Daily Star",https://news.google.com/rss/articles/CBMitwFBVV95cUxPa0dnSmo4elBCWWZiS0VkX2J2VWxQaEU1cUtfdllaYXRMR0JjZnA3RnBaWWZ6U09udmlYRUV0V2lTWDBXZEI2aU12ckUtTUJSRkxPSHNVN3Z4T2RJSXptX09ORzY2N1ZmcXA1MUxyaU9pNk4wWEZxcU13OUR5a2V4TDVEYUxSZjQ0TkVxY0FfMmI0YV83eGdUd1ExUlhZWGdZbmNER01HZlRfaUN2NzBrTENydjVNa2c?oc=5
