Date,symbol,ltp,high,low,open,close,ycp,trade,value,volume
2024-04-15,GP,238.9,241.0,238.5,241.0,238.9,240.0,481.0,8.308,34671.0
2024-04-16,GP,236.1,240.0,233.6,238.5,236.1,238.9,789.0,17.773,75037.0
2024-04-17,GP,236.9,238.9,236.0,236.1,236.9,236.1,483.0,9.403,39710.0
2024-04-18,GP,234.7,237.7,234.0,236.1,234.7,236.9,701.0,13.519,57608.0
2024-04-19,GP,234.7,237.7,234.0,236.1,234.7,236.9,701.0,13.519,57608.0
2024-04-20,GP,234.7,237.7,234.0,236.1,234.7,236.9,701.0,13.519,57608.0
2024-04-21,GP,234.2,236.9,234.0,234.7,234.2,234.7,350.0,7.341,31324.0
2024-04-22,GP,233.1,237.4,232.2,237.4,233.1,234.2,749.0,20.707,88723.0
2024-04-23,GP,232.6,234.0,232.5,233.6,232.6,233.1,403.0,8.544,36698.0
2024-04-24,GP,232.5,233.7,231.7,232.5,232.5,232.6,490.0,17.146,73774.0
2024-04-25,GP,235.0,238.5,229.8,232.5,235.0,232.5,1554.0,46.541,198599.0
2024-04-26,GP,235.0,238.5,229.8,232.5,235.0,232.5,1554.0,46.541,198599.0
2024-04-27,GP,235.0,238.5,229.8,232.5,235.0,232.5,1554.0,46.541,198599.0
2024-04-28,GP,240.5,243.2,235.0,235.0,240.5,235.0,1074.0,30.586,127066.0
2024-04-29,GP,236.6,244.0,235.7,244.0,236.5,240.5,908.0,23.158,97374.0
2024-04-30,GP,235.8,239.0,235.2,239.0,235.8,236.5,761.0,23.661,100191.0
2024-05-01,GP,235.8,239.0,235.2,239.0,235.8,236.5,761.0,23.661,100191.0
2024-05-02,GP,237.6,239.0,236.0,236.0,237.6,235.8,537.0,44.986,189769.0
2024-05-03,GP,237.6,239.0,236.0,236.0,237.6,235.8,537.0,44.986,189769.0
2024-05-04,GP,237.6,239.0,236.0,236.0,237.6,235.8,537.0,44.986,189769.0
2024-05-05,GP,239.5,240.8,237.6,237.6,239.5,237.6,702.0,21.826,91141.0
2024-05-06,GP,239.7,241.9,238.5,241.9,239.7,239.5,630.0,64.751,270193.0
2024-05-07,GP,239.5,241.8,239.0,241.8,239.5,239.7,684.0,110.868,462408.0
2024-05-08,GP,239.3,240.9,238.4,239.5,238.7,239.5,463.0,32.839,137311.0
2024-05-09,GP,238.3,239.9,236.0,239.9,237.4,238.7,708.0,54.075,228077.0
2024-05-10,GP,238.3,239.9,236.0,239.9,237.4,238.7,708.0,54.075,228077.0
2024-05-11,GP,238.3,239.9,236.0,239.9,237.4,238.7,708.0,54.075,228077.0
2024-05-12,GP,236.9,239.0,236.1,239.0,236.9,237.4,375.0,9.433,39818.0
2024-05-13,GP,238.6,239.5,237.1,237.2,238.6,236.9,530.0,13.229,55522.0
2024-05-14,GP,237.0,239.0,236.5,239.0,237.0,238.6,423.0,8.978,37882.0
2024-05-15,GP,233.6,238.5,233.0,238.5,233.6,237.0,506.0,12.379,52674.0
2024-05-16,GP,232.3,236.0,231.7,233.6,232.3,233.6,708.0,17.38,74534.0
2024-05-17,GP,232.3,236.0,231.7,233.6,232.3,233.6,708.0,17.38,74534.0
2024-05-18,GP,232.3,236.0,231.7,233.6,232.3,233.6,708.0,17.38,74534.0
2024-05-19,GP,225.8,233.0,225.4,232.3,225.8,232.3,894.0,15.515,67943.0
2024-05-20,GP,224.4,228.0,224.0,224.9,224.4,225.8,1131.0,27.5,122031.0
2024-05-21,GP,224.5,230.0,224.5,224.5,225.3,224.4,716.0,17.278,76248.0
2024-05-22,GP,224.5,230.0,224.5,224.5,225.3,224.4,716.0,17.278,76248.0
2024-05-23,GP,224.9,231.8,224.0,231.8,224.9,225.3,867.0,18.419,81866.0
2024-05-24,GP,224.9,231.8,224.0,231.8,224.9,225.3,867.0,18.419,81866.0
2024-05-25,GP,224.9,231.8,224.0,231.8,224.9,225.3,867.0,18.419,81866.0
2024-05-26,GP,226.0,228.5,224.0,228.5,226.0,224.9,755.0,14.97,66596.0
2024-05-27,GP,229.3,229.7,225.0,226.0,229.3,226.0,494.0,8.726,38189.0
2024-05-28,GP,225.5,236.0,224.7,232.0,225.5,229.3,1072.0,24.882,108419.0
2024-05-29,GP,227.7,230.0,226.3,229.0,227.7,225.5,516.0,8.809,38541.0
2024-05-30,GP,226.0,229.0,222.2,228.0,223.5,227.7,1038.0,25.54,113546.0
2024-05-31,GP,226.0,229.0,222.2,228.0,223.5,227.7,1038.0,25.54,113546.0
2024-06-01,GP,226.0,229.0,222.2,228.0,223.5,227.7,1038.0,25.54,113546.0
2024-06-02,GP,225.4,229.5,223.5,226.9,225.4,223.5,855.0,12.301,54627.0
2024-06-03,GP,225.7,228.0,224.2,227.9,225.7,225.4,455.0,10.19,45141.0
2024-06-04,GP,227.5,233.5,225.5,228.0,227.5,225.7,570.0,14.746,64724.0
2024-06-05,GP,226.2,230.0,225.0,225.1,226.2,227.5,447.0,14.123,62156.0
2024-06-06,GP,227.6,229.9,225.0,225.0,227.6,226.2,537.0,17.904,78816.0
2024-06-07,GP,227.6,229.9,225.0,225.0,227.6,226.2,537.0,17.904,78816.0
2024-06-08,GP,227.6,229.9,225.0,225.0,227.6,226.2,537.0,17.904,78816.0
2024-06-09,GP,229.1,229.9,225.6,225.6,229.1,227.6,572.0,14.977,65657.0
2024-06-10,GP,225.4,230.0,223.5,230.0,225.4,229.1,862.0,28.094,123661.0
2024-06-11,GP,223.5,228.4,222.9,225.4,223.5,225.4,909.0,46.988,208285.0
2024-06-12,GP,224.5,225.7,222.0,222.0,223.0,223.5,950.0,46.935,209975.0
2024-06-13,GP,224.1,226.7,223.6,226.7,224.1,223.0,954.0,26.116,116386.0
2024-06-14,GP,224.1,226.7,223.6,226.7,224.1,223.0,954.0,26.116,116386.0
2024-06-15,GP,224.1,226.7,223.6,226.7,224.1,223.0,954.0,26.116,116386.0
2024-06-16,GP,224.1,226.7,223.6,226.7,224.1,223.0,954.0,26.116,116386.0
2024-06-17,GP,224.1,226.7,223.6,226.7,224.1,223.0,954.0,26.116,116386.0
2024-06-18,GP,224.1,226.7,223.6,226.7,224.1,223.0,954.0,26.116,116386.0
2024-06-19,GP,224.0,225.0,221.8,224.0,222.2,224.1,1307.0,31.351,140713.0
2024-06-20,GP,224.9,225.4,221.0,223.9,224.9,222.2,1350.0,24.42,109330.0
2024-06-21,GP,224.9,225.4,221.0,223.9,224.9,222.2,1350.0,24.42,109330.0
2024-06-22,GP,224.9,225.4,221.0,223.9,224.9,222.2,1350.0,24.42,109330.0
2024-06-23,GP,226.9,228.8,224.9,228.8,226.9,224.9,814.0,30.52,135144.0
2024-06-24,GP,228.2,228.9,225.1,228.9,228.2,226.9,743.0,26.501,116913.0
2024-06-25,GP,228.7,229.5,226.5,228.2,228.7,228.2,817.0,26.081,114191.0
2024-06-26,GP,236.2,237.0,228.4,229.9,236.2,228.7,1881.0,46.777,199823.0
2024-06-27,GP,241.4,242.0,236.0,236.2,241.4,236.2,1690.0,27.496,114798.0
2024-06-28,GP,241.4,242.0,236.0,236.2,241.4,236.2,1690.0,27.496,114798.0
2024-06-29,GP,241.4,242.0,236.0,236.2,241.4,236.2,1690.0,27.496,114798.0
2024-06-30,GP,247.7,248.4,234.7,240.1,247.7,241.4,1462.0,54.002,221085.0
2024-07-01,GP,247.7,248.4,234.7,240.1,247.7,241.4,1462.0,54.002,221085.0
2024-07-02,GP,244.0,247.6,240.3,247.6,244.0,247.7,1077.0,39.779,162555.0
2024-07-03,GP,240.2,243.7,239.1,239.9,240.2,244.0,853.0,18.126,75290.0
2024-07-04,GP,245.6,246.1,240.2,240.2,245.6,240.2,994.0,24.872,101847.0
2024-07-05,GP,245.6,246.1,240.2,240.2,245.6,240.2,994.0,24.872,101847.0
2024-07-06,GP,245.6,246.1,240.2,240.2,245.6,240.2,994.0,24.872,101847.0
2024-07-07,GP,251.2,252.0,242.0,243.0,251.2,245.6,1007.0,43.137,172685.0
2024-07-08,GP,248.8,253.2,247.0,251.0,248.8,251.2,1513.0,45.362,181626.0
2024-07-09,GP,246.0,248.8,242.6,248.8,245.1,248.8,1027.0,57.232,233433.0
2024-07-10,GP,244.7,250.0,241.4,250.0,244.7,245.1,929.0,26.529,109017.0
2024-07-11,GP,243.5,248.5,242.9,247.0,243.5,244.7,770.0,22.386,91363.0
2024-07-12,GP,243.5,248.5,242.9,247.0,243.5,244.7,770.0,22.386,91363.0
2024-07-13,GP,243.5,248.5,242.9,247.0,243.5,244.7,770.0,22.386,91363.0
2024-07-14,GP,244.5,246.0,242.6,246.0,244.5,243.5,578.0,32.649,133230.0
2024-07-15,GP,244.6,245.9,243.2,245.9,244.6,244.5,369.0,9.575,39142.0
2024-07-16,GP,249.3,251.0,245.0,247.0,249.3,244.6,728.0,19.877,80158.0
2024-07-17,GP,249.3,251.0,245.0,247.0,249.3,244.6,728.0,19.877,80158.0
2024-07-18,GP,251.6,261.3,250.9,261.3,251.6,249.3,2802.0,116.455,460045.0
2024-07-19,GP,251.6,261.3,250.9,261.3,251.6,249.3,2802.0,116.455,460045.0
2024-07-20,GP,251.6,261.3,250.9,261.3,251.6,249.3,2802.0,116.455,460045.0
2024-07-21,GP,251.6,261.3,250.9,261.3,251.6,249.3,2802.0,116.455,460045.0
2024-07-22,GP,251.6,261.3,250.9,261.3,251.6,249.3,2802.0,116.455,460045.0
2024-07-23,GP,251.6,261.3,250.9,261.3,251.6,249.3,2802.0,116.455,460045.0
2024-07-24,GP,249.1,251.5,248.0,248.2,249.1,251.6,659.0,43.57,174789.0
2024-07-25,GP,254.1,255.0,248.0,248.1,254.1,249.1,866.0,39.306,156017.0
2024-07-26,GP,254.1,255.0,248.0,248.1,254.1,249.1,866.0,39.306,156017.0
2024-07-27,GP,254.1,255.0,248.0,248.1,254.1,249.1,866.0,39.306,156017.0
2024-07-28,GP,257.0,258.2,254.1,254.1,257.0,254.1,1101.0,38.554,150331.0
2024-07-29,GP,254.2,257.0,253.7,257.0,254.2,257.0,729.0,27.819,109024.0
2024-07-30,GP,250.8,254.2,248.8,254.2,250.8,254.2,923.0,24.452,97336.0
2024-07-31,GP,252.5,253.7,248.0,248.0,252.5,250.8,945.0,30.663,121890.0
2024-08-01,GP,254.8,255.3,250.2,254.7,254.8,252.5,697.0,27.072,106714.0
2024-08-02,GP,254.8,255.3,250.2,254.7,254.8,252.5,697.0,27.072,106714.0
2024-08-03,GP,254.8,255.3,250.2,254.7,254.8,252.5,697.0,27.072,106714.0
2024-08-04,GP,247.2,254.0,247.2,247.2,247.2,254.8,929.0,44.189,178398.0
2024-08-05,GP,247.2,254.0,247.2,247.2,247.2,254.8,929.0,44.189,178398.0
